% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- -----------------------
 64.47    0.647526         678       955        91 futex
 11.20    0.112516       56258         2           poll
  8.02    0.080509          15      5124        48 read
  7.77    0.078049        2001        39           epoll_wait
  2.27    0.022770           3      7353           sched_yield
  1.88    0.018843           0     32655         5 getpgid
  1.85    0.018561         530        35         8 wait4
  1.07    0.010741         153        70           getdents64
  0.30    0.003021           1      2038           mprotect
  0.15    0.001514           1      1032           mmap
  0.10    0.001053          25        41           execve
  0.09    0.000950           0      1522           lseek
  0.09    0.000942           6       150           madvise
  0.06    0.000650           1       358        26 openat
  0.06    0.000612           1       386           munmap
  0.05    0.000483           1       339        40 newfstatat
  0.04    0.000451           0       492           close
  0.04    0.000431          21        20           clone
  0.04    0.000409           1       296        10 fcntl
  0.04    0.000405           0       436           rt_sigprocmask
  0.03    0.000350           1       324           fstat
  0.03    0.000328           5        58           fsync
  0.02    0.000188          10        18           clone3
  0.02    0.000186           0       559       532 readlink
  0.02    0.000180           0       198           pread64
  0.02    0.000180          12        15         2 unlink
  0.02    0.000163           0       984           rt_sigaction
  0.01    0.000150          15        10           vfork
  0.01    0.000140           1       119           write
  0.01    0.000140           7        19         5 mkdir
  0.01    0.000132           6        20           epoll_ctl
  0.01    0.000124           0       218           brk
  0.01    0.000121           2        56           pipe2
  0.01    0.000112           2        44           pwrite64
  0.01    0.000102           1        70           flock
  0.01    0.000088           8        10           rmdir
  0.01    0.000087           1        59           rseq
  0.01    0.000083           2        40         3 rt_sigreturn
  0.01    0.000060           0       130           dup2
  0.01    0.000059           1        53           prlimit64
  0.01    0.000058           1        44           sched_getaffinity
  0.01    0.000057           2        20           kill
  0.01    0.000057           2        20        10 waitid
  0.01    0.000052           0        79           set_robust_list
  0.01    0.000051           0        72           geteuid
  0.00    0.000049           1        30           getppid
  0.00    0.000047           1        42           getuid
  0.00    0.000046           0        66        49 access
  0.00    0.000046           3        15           sched_setaffinity
  0.00    0.000041          41         1           getrusage
  0.00    0.000036           0        59           getpid
  0.00    0.000035           3        11           prctl
  0.00    0.000029          29         1           bind
  0.00    0.000029           2        10           faccessat2
  0.00    0.000027           0        40           getegid
  0.00    0.000027           0        50           getrandom
  0.00    0.000025           0        41           arch_prctl
  0.00    0.000024           0        40           getgid
  0.00    0.000024           0        32           sigaltstack
  0.00    0.000023           7         3           socket
  0.00    0.000022           2        10           setsid
  0.00    0.000021           0        41           set_tid_address
  0.00    0.000020          10         2         2 connect
  0.00    0.000018           0        20           gettid
  0.00    0.000015           1        13           fstatfs
  0.00    0.000014           1        10           sched_get_priority_min
  0.00    0.000011           1        10           sched_setscheduler
  0.00    0.000010           5         2           mknodat
  0.00    0.000010           0        24           membarrier
  0.00    0.000009           0        11           getcwd
  0.00    0.000009           3         3         3 rt_sigsuspend
  0.00    0.000009           3         3           statfs
  0.00    0.000008           4         2           memfd_create
  0.00    0.000005           0        10           sched_get_priority_max
  0.00    0.000004           2         2           setsockopt
  0.00    0.000004           4         1           ftruncate
  0.00    0.000004           0        10           chdir
  0.00    0.000004           2         2           sysinfo
  0.00    0.000002           0         3           mincore
  0.00    0.000002           2         1           listen
  0.00    0.000002           2         1           fchmod
  0.00    0.000002           1         2           getsid
  0.00    0.000002           2         1           get_mempolicy
  0.00    0.000001           0        10           getpgrp
  0.00    0.000001           0         5           sched_getscheduler
  0.00    0.000000           0         3         3 ioctl
  0.00    0.000000           0         5           sched_getparam
  0.00    0.000000           0         1           epoll_create1
------ ----------- ----------- --------- --------- -----------------------
100.00    1.004401          17     57231       837 total
