% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- -----------------------
 62.58    0.817690        1091       749        70 futex
 10.09    0.131795      131795         1           restart_syscall
  8.22    0.107353          19      5383        39 read
  8.10    0.105819        2580        41           epoll_wait
  2.56    0.033418           1     32660           getpgid
  2.26    0.029579         289       102        47 wait4
  1.84    0.023992           4      4990           sched_yield
  1.55    0.020300       10150         2         1 poll
  0.82    0.010653         266        40           getdents64
  0.68    0.008913           3      2365           mprotect
  0.22    0.002873           1      1549           mmap
  0.14    0.001769          24        71           execve
  0.07    0.000943           0      1552        10 lseek
  0.07    0.000924           1       489        26 openat
  0.06    0.000780           1       495           munmap
  0.06    0.000749           1       725           close
  0.05    0.000626          10        58           fsync
  0.05    0.000600           1       329        60 newfstatat
  0.04    0.000488           1       424           fstat
  0.04    0.000482           0       487           rt_sigprocmask
  0.03    0.000435          22        19           clone3
  0.03    0.000400           4        90           rseq
  0.03    0.000387           9        40           vfork
  0.03    0.000374          18        20           clone
  0.03    0.000373           2       131           write
  0.03    0.000337           6        54           pwrite64
  0.03    0.000329           7        47           sched_getaffinity
  0.02    0.000263           0       564       537 readlink
  0.02    0.000255           0       984           rt_sigaction
  0.02    0.000246           0       258           pread64
  0.02    0.000245           0       336        10 fcntl
  0.02    0.000239           1       124           madvise
  0.02    0.000196          12        16           sched_setaffinity
  0.01    0.000192           2        81           getrandom
  0.01    0.000190           4        45        22 unlink
  0.01    0.000184           3        57           pipe2
  0.01    0.000169           0       310           brk
  0.01    0.000162           1        90           flock
  0.01    0.000122           6        20        10 waitid
  0.01    0.000116           1        60           getpid
  0.01    0.000112           5        19         5 mkdir
  0.01    0.000101          10        10           setsid
  0.01    0.000099           9        10           renameat2
  0.01    0.000085           0       170           dup2
  0.01    0.000084           0       110           set_robust_list
  0.01    0.000083           1        70        21 rt_sigreturn
  0.01    0.000082           2        30        10 kill
  0.01    0.000081           8        10           rmdir
  0.01    0.000073           2        34           sigaltstack
  0.00    0.000064           0       106        89 access
  0.00    0.000061           0        82           geteuid
  0.00    0.000060           3        20        10 faccessat2
  0.00    0.000059           0        83           prlimit64
  0.00    0.000043           2        21           gettid
  0.00    0.000041           0        71           arch_prctl
  0.00    0.000037           3        11           prctl
  0.00    0.000037           1        20           epoll_ctl
  0.00    0.000036           0        71           set_tid_address
  0.00    0.000032           0        42           getuid
  0.00    0.000030           1        23        20 statfs
  0.00    0.000027           0        40           getegid
  0.00    0.000027           2        11           sched_setscheduler
  0.00    0.000026           0        40           getgid
  0.00    0.000026           0        30           getppid
  0.00    0.000025           2        11           sched_get_priority_max
  0.00    0.000022           0        23           fstatfs
  0.00    0.000022           1        20        10 unlinkat
  0.00    0.000021          21         1           bind
  0.00    0.000018           1        11           sched_get_priority_min
  0.00    0.000015           1        10           clock_nanosleep
  0.00    0.000014           1        13           getcwd
  0.00    0.000013           6         2         2 connect
  0.00    0.000012           4         3           socket
  0.00    0.000011           0        23        23 ioctl
  0.00    0.000009           0        24           membarrier
  0.00    0.000008           2         4           sched_getparam
  0.00    0.000008           4         2           mknodat
  0.00    0.000005           2         2           memfd_create
  0.00    0.000004           0        10           chdir
  0.00    0.000004           0        10           getpgrp
  0.00    0.000004           2         2         2 rt_sigsuspend
  0.00    0.000004           4         1           epoll_create1
  0.00    0.000003           1         3           mincore
  0.00    0.000003           3         1           ftruncate
  0.00    0.000003           3         1           getrusage
  0.00    0.000003           0         4           sched_getscheduler
  0.00    0.000002           1         2           setsockopt
  0.00    0.000002           1         2           sysinfo
  0.00    0.000001           1         1           listen
  0.00    0.000001           1         1           fchmod
  0.00    0.000001           0         2           getsid
  0.00    0.000001           1         1           get_mempolicy
------ ----------- ----------- --------- --------- -----------------------
100.00    1.306605          22     57182      1024 total
