file	verdict	code	stages	steps	detail
Ableton_python-pipeline-utils.Jenkinsfile	scripted-err	malformed_syntax	-	-	'>=', '?', '?.', '?:', '[', 'instanceof', '{' or '||' @7:20
AmanPathak-DevOps_EKS-Terraform-GitHub-Actions.Jenkinsfile	ok	-	5	6	-
BBVA_mirrorgate.Jenkinsfile	scripted-ok	-	2	6	-
Ben1980_jenkinsexample.Jenkinsfile	ok	-	4	6	-
Blazemeter_taurus.Jenkinsfile	ok	-	8	16	-
Chabane_mitosis-microservice-spark-cassandra.Jenkinsfile	scripted-ok	-	1	4	-
DeekshithSN_Jenkinsfile.Jenkinsfile	ok	-	1	2	-
HariSekhon_DevOps-Bash-tools.Jenkinsfile	ok	-	3	11	-
HariSekhon_Jenkins.Jenkinsfile	err	no_stages	-	-	pipeline declares no stages @1:1
HariSekhon_Nagios-Plugins.Jenkinsfile	ok	-	3	11	-
HariSekhon_Templates.Jenkinsfile	scripted-ok	-	1	0	-
Jotschi_maven-release-workflow-test.Jenkinsfile	scripted-err	malformed_syntax	-	-	, 'while', '{', '||' or '}' @9:23
MrRameshRajendran_Hybrid_MultiCloud_Overlay.Jenkinsfile	err	no_stages	-	-	pipeline declares no stages @1:1
ORCID_ORCID-Source.Jenkinsfile	scripted-ok	-	20	17	-
Primus19_jenkins-pipeline-deploy-to-eks.Jenkinsfile	ok	-	2	9	-
Rapter1990_springbootmicroservicedailybuffer.Jenkinsfile	ok	-	1	19	-
RitheeshBaradwaj_JenkinsPipeline.Jenkinsfile	ok	-	6	16	-
Romeh_spring-boot-ignite.Jenkinsfile	ok	-	4	14	-
Romeh_spring-boot-sample-app.Jenkinsfile	ok	-	9	23	-
Statemood_jenkins-library.Jenkinsfile	scripted-ok	-	2	2	-
SumanReddy568_Selenium-Python-Pytest-framework.Jenkinsfile	ok	-	4	7	-
SumitKr88_multiscanpipeline-jenkins-fastlane-ios.Jenkinsfile	ok	-	14	30	-
SumitM01_CI-CD-for-Docker-Kubernetes-using-Jenkins.Jenkinsfile	err	malformed_syntax	-	-	'options', 'parameters', 'post', 'stages', 'tools', 'triggers' or '}' @43:31
TTFHW_jenkins_pipeline_java_maven.Jenkinsfile	scripted-ok	-	1	5	-
TTFHW_jenkins_pipeline_shell_scripts.Jenkinsfile	scripted-ok	-	1	5	-
TechPrimers_jenkins-example.Jenkinsfile	ok	-	3	6	-
Terradue_DotNet4One.Jenkinsfile	ok	-	4	10	-
Terradue_DotNetOpenSearchClient.Jenkinsfile	ok	-	5	7	-
TomCzHen_jenkins-android-sample.Jenkinsfile	ok	-	6	18	-
Tynab_crm-project.Jenkinsfile	ok	-	4	11	-
VAD37_unity-jenkinsfile.Jenkinsfile	ok	-	5	19	-
adamrushuk_powershell-pipeline.Jenkinsfile	ok	-	1	1	-
ahmedmourshedi_Automation-Testing-of-ECommerce-WebsiteUsingSelenium.Jenkinsfile	scripted-ok	-	1	9	-
aiwithqasim_Capstone-Project-Devops.Jenkinsfile	ok	-	4	4	-
alanmacgowan_WebApplication.Jenkinsfile	ok	-	12	19	-
alexguzun_jenkins-pipeline-gitflow-maven.Jenkinsfile	scripted-err	malformed_syntax	-	-	'?', '?.', '?:', '[', 'instanceof', '{' or '||' @86:20
allcloud-io_jenkins-pipeline-tutorial.Jenkinsfile	ok	-	1	1	-
arun-gupta_docker-jenkins-pipeline.Jenkinsfile	scripted-err	malformed_syntax	-	-	'>=', '?', '?.', '?:', '[', 'instanceof', '{', '||' or '}' @1:6
aws-samples_ecs-bg-external-controller.Jenkinsfile	ok	-	12	3	-
